ID,Serie_titol,edad,IMDB_vots,IMDB_nota,temporades,episodis,data_inici,data_final,duració,plataforma,genere
tt3061050,Clarence,5,8814,6.6,3,130,5/21/2013,6/24/2018,1860,Cartoon Network,"adventure, comedia, familia, short"
tt7713450,Craig of the Creek,2,1961,7.1,4,130,3/30/2018,,1401,Cartoon Network,"adventure, comedia, drama, familia"
tt5120600,Danger & Eggs,4,513,4.5,1,13,6/30/2017,6/30/2017,0,Amazon Prime,"adventure, comedia, familia, fantasy, short"
tt5363918,Disenchantment,6,54834,7.2,4,30,8/17/2018,,1261,Netflix,"action, adventure, comedia, fantasy"
tt1710295,Doc McStuffins,4,2261,6.5,5,136,3/23/2012,1/8/2020,2847,Disney Junior,"familia, fantasy, musical"
tt14069590,Dota: Dragon's Blood,7,15512,7.9,2,8,3/25/2021,3/25/2021,0,Netflix,"action, adventure, fantasy, science fiction, thriller"
tt0386180,Drawn Together,7,19896,7,3,36,10/27/2004,11/15/2007,1114,comedia Central,comedia
tt5531466,DuckTales (2017),1,8892,8.2,3,75,8/12/2017,3/15/2021,1311,Disney XD,"action, adventure, comedia, familia, fantasy, mystery, science fiction"
tt9073898,Duncanville,6,1760,6.1,3,23,2/16/2020,,713,Fox,comedia
tt4326894,F Is for familia,7,35012,8,5,44,12/18/2015,11/25/2021,2169,Netflix,"comedia, drama"
tt0182576,familia Guy,6,321568,8.1,21,380,1/31/1999,,8399,Fox,comedia
tt8322592,Fast & Furious Spy Racers,2,1394,5.6,6,52,12/26/2019,12/17/2021,722,Netflix,"action, adventure, comedia, crime, drama, familia, short"
tt6317068,Final Space,6,40816,8.2,3,36,2/26/2018,6/14/2021,1204,"Adult Swim, TBS","action, adventure, comedia, drama, fantasy, science fiction"
tt0854504,Freak Show,7,404,4.8,1,7,10/4/2006,11/16/2006,43,comedia Central,comedia
tt5957358,Freedom Fighters: The Ray,none listed,1064,5.8,2,12,12/8/2017,7/18/2018,222,CW Seed,"action, fantasy, science fiction"
tt0149460,Futurama,6,225740,8.4,10,140,3/28/1999,9/4/2013,5274,"Fox, comedia Central","adventure, comedia, science fiction"
