ID,show_title,confirmation_date,character_name,race,gender,orientation,role,representation
tt6965802,OK K.O.! Let's Be Heroes,8/1/2017,Enid,POC,Mujer Cis,Bisexual,Personaje Principal,Explícito
tt6965802,OK K.O.! Let's Be Heroes,8/1/2017,Red Action,N/A,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt6965802,OK K.O.! Let's Be Heroes,8/2/2017,Bobo,N/A,Agénero,Indeterminado,Personaje Invitado,Explícito
tt6965802,OK K.O.! Let's Be Heroes,8/1/2017,Gregg,N/A,No Binario,Indeterminado,Personaje Invitado,Implícito
tt6965802,OK K.O.! Let's Be Heroes,8/1/2017,Radicles,N/A,Género Fluido,Pansexual,Personaje Principal,Implícito
tt12605636,Onyx Equinox,11/21/2020,Yaotl,POC,Hombre Cis,Bisexual,Personaje Invitado,Implícito
tt12605636,Onyx Equinox,11/21/2020,Michtecacihuatl,POC,Mujer Cis,Bisexual,Personaje Invitado,Implícito
tt8235236,Paradise PD,8/31/2018,Stanley Hopson,Blanco,Hombre Cis,Bisexual,Personaje Recurrente,Explícito
tt6148744,Pete the Cat,12/26/2017,Syd,N/A,Hombre Cis,Gay,Personaje Invitado,Explícito
tt6148744,Pete the Cat,12/26/2017,Sam,N/A,Hombre Cis,Gay,Personaje Invitado,Explícito
tt10140028,Q-Force,9/2/2021,Benji,Blanco,Hombre Cis,Gay,Personaje Secundario,Explícito
tt10140028,Q-Force,9/2/2021,Twink,Blanco,Hombre Cis,Gay,Personaje Secundario,Explícito
tt10140028,Q-Force,9/2/2021,Antoni,Blanco,Hombre Cis,Bisexual,Personaje Secundario,Explícito
tt10140028,Q-Force,9/2/2021,Steve Maryweather,Blanco,Hombre Cis,Gay,Personaje Principal,Explícito
tt10140028,Q-Force,9/2/2021,Pam Roop,Blanco,Mujer Cis,Lesbiana,Personaje Secundario,Explícito
tt10140028,Q-Force,9/2/2021,Deb,POC,Mujer Cis,Lesbiana,Personaje Secundario,Explícito
tt10140028,Q-Force,9/2/2021,Louisa Desk,Blanco,Mujer Cis,Lesbiana,Personaje Recurrente,Implícito
tt10140028,Q-Force,9/2/2021,Stat,Blanco,Mujer Trans,Lesbiana,Personaje Secundario,Explícito
tt0372707,Queer Duck,10/11/2000,Bipolar Bear,N/A,Hombre Cis,Bisexual,Personaje Recurrente,Explícito
tt0372707,Queer Duck,10/11/2000,Regina/Rex,N/A,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt0372707,Queer Duck,10/11/2000,Adam Seymour Duckstein,N/A,Hombre Cis,Gay,Personaje Principal,Explícito
tt0372707,Queer Duck,10/11/2000,Steven Arlo Gator,N/A,Hombre Cis,Gay,Personaje Principal,Explícito
tt0372707,Queer Duck,10/11/2000,Oscar Wildcat,N/A,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt0372707,Queer Duck,10/11/2000,Melissa Duckstein,N/A,Mujer Cis,Lesbiana,Personaje Principal,Explícito
tt0372707,Queer Duck,10/11/2000,Yvette,N/A,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt0401747,Red vs. Blue,10/2/2016,Agent Ohio/Vera,N/A,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt0401747,Red vs. Blue,10/9/2016,Sherry,N/A,Mujer Cis,Lesbiana,Personaje Recurrente,Implícito
tt0837014,Rick & Steve: The Happiest Gay Couple in All the World,7/10/2007,Rick Brocka,POC,Hombre Cis,Gay,Personaje Principal,Explícito
tt0837014,Rick & Steve: The Happiest Gay Couple in All the World,7/10/2007,Steve,Blanco,Hombre Cis,Gay,Personaje Principal,Explícito
tt0837014,Rick & Steve: The Happiest Gay Couple in All the World,7/10/2007,Dana Bernstein,Blanco,Mujer Cis,Lesbiana,Personaje Principal,Explícito
tt0837014,Rick & Steve: The Happiest Gay Couple in All the World,7/10/2007,Kirsten Kellogg,Blanco,Mujer Cis,Lesbiana,Personaje Principal,Explícito
tt2861424,Rick and Morty,1/27/2014,Jerry Smith,Blanco,Hombre Cis,Bisexual,Personaje Recurrente,Explícito
tt2861424,Rick and Morty,8/16/2015,Sleepy Gary,Blanco,Hombre Cis,Bisexual,Personaje Secundario,Explícito
tt13351440,Ridley Jones,7/13/2021,Aten,N/A,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt13351440,Ridley Jones,7/13/2021,Kosi,N/A,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt13351440,Ridley Jones,7/13/2021,Fred,N/A,No Binario,Indeterminado,Personaje Principal,Explícito
tt8741368,Rugrats (2021),5/27/2021,Betty DeVille,Blanco,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt3066242,RWBY,1/7/2017,Ilia Amitola,Blanco,Mujer Cis,Lesbiana,Personaje Secundario,Explícito
tt3066242,RWBY,12/8/2018,Terra Cotta-Arc,POC,Mujer Cis,Lesbiana,Personaje Secundario,Explícito
tt3066242,RWBY,12/8/2018,Saphron,Blanco,Mujer Cis,Lesbiana,Personaje Secundario,Explícito
tt3066242,RWBY,7/25/2013,Blake Belladonna,Blanco,Mujer Cis,Bisexual,Personaje Principal,Implícito
tt3066242,RWBY,11/30/2019,May Marigold,Blanco,Mujer Trans,Indeterminado,Personaje Recurrente,Explícito
tt12286260,Santa Inc.,12/2/2021,Jingle Jim,N/A,Hombre Cis,Gay,Personaje Principal,Explícito
tt12286260,Santa Inc.,12/2/2021,Dr. Almonds,Blanco,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt12286260,Santa Inc.,12/2/2021,Goldie,N/A,Mujer Cis,Bisexual,Personaje Principal,Explícito
tt1660055,Scooby Doo! Mystery Incorporated,4/5/2010,Velma Dinkley,Blanco,Mujer Cis,Lesbiana,Personaje Principal,Implícito
tt7745956,She-Ra and the Princesses of Power,4/26/2019,George,POC,Hombre Cis,Gay,Personaje Invitado,Explícito
tt7745956,She-Ra and the Princesses of Power,11/13/2018,Kyle,Blanco,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt7745956,She-Ra and the Princesses of Power,4/26/2019,Lance,POC,Hombre Cis,Gay,Personaje Invitado,Explícito
tt7745956,She-Ra and the Princesses of Power,11/13/2018,Bow,POC,Hombre Cis,Bisexual,Personaje Principal,Implícito
tt7745956,She-Ra and the Princesses of Power,11/13/2018,Rogelio,N/A,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt7745956,She-Ra and the Princesses of Power,11/13/2018,Sea Hawk,Blanco,Hombre Cis,Queer,Personaje Recurrente,Implícito
tt7745956,She-Ra and the Princesses of Power,5/15/2020,Falcon,Blanco,Hombre Cis,Queer,Personaje Invitado,Implícito
tt7745956,She-Ra and the Princesses of Power,11/13/2018,Scorpia,POC,Mujer Cis,Lesbiana,Personaje Secundario,Explícito
tt7745956,She-Ra and the Princesses of Power,11/13/2018,Netossa,POC,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt7745956,She-Ra and the Princesses of Power,11/13/2018,Catra,POC,Mujer Cis,Lesbiana,Personaje Principal,Explícito
tt7745956,She-Ra and the Princesses of Power,11/13/2018,Adora,Blanco,Mujer Cis,Lesbiana,Personaje Principal,Explícito
tt7745956,She-Ra and the Princesses of Power,11/13/2018,Entrapta,POC,Mujer Cis,Pansexual,Personaje Secundario,Implícito
tt7745956,She-Ra and the Princesses of Power,11/13/2018,Mara,POC,Mujer Cis,Queer,Personaje Recurrente,Explícito
tt7745956,She-Ra and the Princesses of Power,11/13/2018,Spinnerella,Blanco,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt7745956,She-Ra and the Princesses of Power,8/2/2019,Huntara,N/A,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt7745956,She-Ra and the Princesses of Power,11/13/2018,Glimmer,POC,Mujer Cis,Bisexual,Personaje Principal,Implícito
tt7745956,She-Ra and the Princesses of Power,11/13/2018,Perfuma,POC,Mujer Cis,Bisexual,Personaje Recurrente,Implícito
tt7745956,She-Ra and the Princesses of Power,11/13/2018,Light Hope,N/A,Mujer Cis,Queer,Personaje Recurrente,Explícito
tt7745956,She-Ra and the Princesses of Power,11/5/2019,Double Trouble,N/A,No Binario,Queer,Personaje Recurrente,Explícito
tt1232266,"Sit Down, Shut Up",4/19/2009,Andrew LeGustambos,POC,Hombre Cis,Bisexual,Personaje Recurrente,Explícito
tt8910922,Solar Opposites,5/8/2020,Terry,N/A,Hombre Cis,Gay,Personaje Recurrente,Implícito
tt8910922,Solar Opposites,5/8/2020,Korvo,N/A,Agénero,Indeterminado,Personaje Principal,Implícito
tt0121955,South Park,12/17/1997,Craig Tucker,Blanco,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt0121955,South Park,4/1/1998,Satan,N/A,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt0121955,South Park,8/13/1997,Herbert Garrison,Blanco,Hombre Cis,Gay,Personaje Principal,Explícito
tt0121955,South Park,5/27/1998,Stephen Stotch,Blanco,Hombre Cis,Bisexual,Personaje Recurrente,Explícito
tt0121955,South Park,4/1/1998,Saddam Hussein,POC,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt0121955,South Park,11/20/2002,Mr. Slave,Blanco,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt0121955,South Park,12/17/1997,Tweek Tweak,Blanco,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt0121955,South Park,9/3/1997,Big Gay Al,Blanco,Hombre Cis,Gay,Personaje Recurrente,Explícito
